run_id,vantage_id,actor_scope,resolved_pds_host,did,handle,handle_is_correct,collections_count,collections_json,raw_json,captured_at_utc
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,author_feed_post_author|post_author|relationship_counterparty|surface_author|thread_actor,https://lepista.us-west.host.bsky.network,did:plc:2235hceapp64cpjpqp5sm5g7,lizshackleton.bsky.social,1,4,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.graph.follow""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.graph.follow""],""did"":""did:plc:2235hceapp64cpjpqp5sm5g7"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://lizshackleton.bsky.social""],""id"":""did:plc:2235hceapp64cpjpqp5sm5g7"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://lepista.us-west.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:2235hceapp64cpjpqp5sm5g7"",""id"":""did:plc:2235hceapp64cpjpqp5sm5g7#atproto"",""publicKeyMultibase"":""zQ3shscM3ky4nc21HELyr1bnm596S7KpV3t6RPYEDzS2whkAx"",""type"":""Multikey""}]},""handle"":""lizshackleton.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:02Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,followed_by_seed,https://agrocybe.us-west.host.bsky.network,did:plc:225lym7tbt3fwpbqb5jnwqud,cubaincontext.bsky.social,1,5,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.graph.follow""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.graph.follow""],""did"":""did:plc:225lym7tbt3fwpbqb5jnwqud"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://cubaincontext.bsky.social""],""id"":""did:plc:225lym7tbt3fwpbqb5jnwqud"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://agrocybe.us-west.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:225lym7tbt3fwpbqb5jnwqud"",""id"":""did:plc:225lym7tbt3fwpbqb5jnwqud#atproto"",""publicKeyMultibase"":""zQ3shtax8wuPVfx4fcFwSZUpVjdgpsjqvPtP19zjKamnj7kAL"",""type"":""Multikey""}]},""handle"":""cubaincontext.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:02Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,follower_of_seed,https://cremini.us-west.host.bsky.network,did:plc:247igq2dcmlallbqbfo3dxld,thesadmall.bsky.social,1,9,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.postgate"",""app.bsky.feed.repost"",""app.bsky.feed.threadgate"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""place.stream.chat.profile""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.postgate"",""app.bsky.feed.repost"",""app.bsky.feed.threadgate"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""place.stream.chat.profile""],""did"":""did:plc:247igq2dcmlallbqbfo3dxld"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://thesadmall.bsky.social""],""id"":""did:plc:247igq2dcmlallbqbfo3dxld"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://cremini.us-west.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:247igq2dcmlallbqbfo3dxld"",""id"":""did:plc:247igq2dcmlallbqbfo3dxld#atproto"",""publicKeyMultibase"":""zQ3shhTjZZZKe7sEU7xWpPiBDfNiJ3b1vt6dfgHWtjZgZ6Q6T"",""type"":""Multikey""}]},""handle"":""thesadmall.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:03Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,followed_by_seed,https://button.us-west.host.bsky.network,did:plc:24fcc3vozndj6ezrrbugqxyg,hellfyry.bsky.social,1,5,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.graph.follow""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.graph.follow""],""did"":""did:plc:24fcc3vozndj6ezrrbugqxyg"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://hellfyry.bsky.social""],""id"":""did:plc:24fcc3vozndj6ezrrbugqxyg"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://button.us-west.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:24fcc3vozndj6ezrrbugqxyg"",""id"":""did:plc:24fcc3vozndj6ezrrbugqxyg#atproto"",""publicKeyMultibase"":""zQ3shmBffGX712mkkoiLoSvBANuzCNRSCwN5pEs3kzft2jgqV"",""type"":""Multikey""}]},""handle"":""hellfyry.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:06Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,follower_of_seed,https://fuzzyfoot.us-west.host.bsky.network,did:plc:24g6ocnctpcy3w3f2keckf52,kakyoinverse.bsky.social,1,5,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.graph.follow""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.graph.follow""],""did"":""did:plc:24g6ocnctpcy3w3f2keckf52"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://kakyoinverse.bsky.social""],""id"":""did:plc:24g6ocnctpcy3w3f2keckf52"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://fuzzyfoot.us-west.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:24g6ocnctpcy3w3f2keckf52"",""id"":""did:plc:24g6ocnctpcy3w3f2keckf52#atproto"",""publicKeyMultibase"":""zQ3shRnFurgjBugM2Bxns26krTZqrvy2z9VNLiw4y1Ue7f5Au"",""type"":""Multikey""}]},""handle"":""kakyoinverse.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:07Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,follower_of_seed,https://agrocybe.us-west.host.bsky.network,did:plc:24jc6nqr3yf7phfbeav45mg5,hj1po666.bsky.social,1,7,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.feed.threadgate"",""app.bsky.graph.block"",""app.bsky.graph.follow""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.feed.threadgate"",""app.bsky.graph.block"",""app.bsky.graph.follow""],""did"":""did:plc:24jc6nqr3yf7phfbeav45mg5"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://hj1po666.bsky.social""],""id"":""did:plc:24jc6nqr3yf7phfbeav45mg5"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://agrocybe.us-west.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:24jc6nqr3yf7phfbeav45mg5"",""id"":""did:plc:24jc6nqr3yf7phfbeav45mg5#atproto"",""publicKeyMultibase"":""zQ3shTFcwo2SXx3jpaHfrLG112JqAE5V3etrnJoxGE4RS5nkt"",""type"":""Multikey""}]},""handle"":""hj1po666.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:07Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,author_feed_reason_actor|liker|relationship_counterparty,https://scarletina.us-east.host.bsky.network,did:plc:254jp65z3ml5etk5kvpq52k5,nullgain.bsky.social,1,7,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.repost"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""app.bsky.graph.listblock"",""chat.bsky.actor.declaration""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.repost"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""app.bsky.graph.listblock"",""chat.bsky.actor.declaration""],""did"":""did:plc:254jp65z3ml5etk5kvpq52k5"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://nullgain.bsky.social""],""id"":""did:plc:254jp65z3ml5etk5kvpq52k5"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://scarletina.us-east.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:254jp65z3ml5etk5kvpq52k5"",""id"":""did:plc:254jp65z3ml5etk5kvpq52k5#atproto"",""publicKeyMultibase"":""zQ3shTwVt8oHrNdpHN4LGyua1s36Cvt9yNThk2W261iS4dxGD"",""type"":""Multikey""}]},""handle"":""nullgain.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:08Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,follower_of_seed,https://bankera.us-west.host.bsky.network,did:plc:25fiyexghacidlp5zmjcjnau,z-cruz.bsky.social,1,6,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""chat.bsky.actor.declaration""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""chat.bsky.actor.declaration""],""did"":""did:plc:25fiyexghacidlp5zmjcjnau"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://z-cruz.bsky.social""],""id"":""did:plc:25fiyexghacidlp5zmjcjnau"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://bankera.us-west.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:25fiyexghacidlp5zmjcjnau"",""id"":""did:plc:25fiyexghacidlp5zmjcjnau#atproto"",""publicKeyMultibase"":""zQ3shqbZNepcgWfo9gJnbP3fZxRVYVeJHxTpJxjEZr6DzKxF4"",""type"":""Multikey""}]},""handle"":""z-cruz.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:08Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,author_feed_post_author|author_feed_reason_actor|relationship_counterparty|starter_pack_creator|thread_actor,https://morel.us-east.host.bsky.network,did:plc:26szsl4s2ltrijm67jxp65pl,slowedmountains.bsky.social,1,12,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.postgate"",""app.bsky.feed.repost"",""app.bsky.feed.threadgate"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""app.bsky.graph.list"",""app.bsky.graph.listitem"",""app.bsky.graph.starterpack"",""chat.bsky.actor.declaration""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.postgate"",""app.bsky.feed.repost"",""app.bsky.feed.threadgate"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""app.bsky.graph.list"",""app.bsky.graph.listitem"",""app.bsky.graph.starterpack"",""chat.bsky.actor.declaration""],""did"":""did:plc:26szsl4s2ltrijm67jxp65pl"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://slowedmountains.bsky.social""],""id"":""did:plc:26szsl4s2ltrijm67jxp65pl"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://morel.us-east.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:26szsl4s2ltrijm67jxp65pl"",""id"":""did:plc:26szsl4s2ltrijm67jxp65pl#atproto"",""publicKeyMultibase"":""zQ3shXcgCexhVeTKFFDKcaNyqhzD8G6MzAsJNfTWixGTtz3rf"",""type"":""Multikey""}]},""handle"":""slowedmountains.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:08Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,followed_by_seed|follower_of_seed,https://inkcap.us-east.host.bsky.network,did:plc:26zdhrsdizxafvrkfhx2piyy,votebiue.bsky.social,1,8,"[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.feed.threadgate"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""chat.bsky.actor.declaration""]","{""collections"":[""app.bsky.actor.profile"",""app.bsky.feed.like"",""app.bsky.feed.post"",""app.bsky.feed.repost"",""app.bsky.feed.threadgate"",""app.bsky.graph.block"",""app.bsky.graph.follow"",""chat.bsky.actor.declaration""],""did"":""did:plc:26zdhrsdizxafvrkfhx2piyy"",""didDoc"":{""@context"":[""https://www.w3.org/ns/did/v1"",""https://w3id.org/security/multikey/v1"",""https://w3id.org/security/suites/secp256k1-2019/v1""],""alsoKnownAs"":[""at://votebiue.bsky.social""],""id"":""did:plc:26zdhrsdizxafvrkfhx2piyy"",""service"":[{""id"":""#atproto_pds"",""serviceEndpoint"":""https://inkcap.us-east.host.bsky.network"",""type"":""AtprotoPersonalDataServer""}],""verificationMethod"":[{""controller"":""did:plc:26zdhrsdizxafvrkfhx2piyy"",""id"":""did:plc:26zdhrsdizxafvrkfhx2piyy#atproto"",""publicKeyMultibase"":""zQ3shh4oPNUEMxYSRvna3X387o8VFR12qTYCcyoRzvHxv7hnt"",""type"":""Multikey""}]},""handle"":""votebiue.bsky.social"",""handleIsCorrect"":true}",2026-04-03T08:26:09Z
